Station,"Temperature (ºC)",Weather,"Wind Speed (Kts)","Wind Gust (Kts)","Wind Direction","Humidity (%)","Rainfall (mm)","Pressure (hPa)"
Athenry,8,Cloudy,15,30,W,58,0.0,999
Ballyhaise,6,Fair,11,22,SW,72,0.0,996
Belmullet,7,"Recent Rain",29,44,W,64,0.1,995
Casement,5,Fair,16,,SW,82,0.0,999
Claremorris,5,-,17,31,W,73,0.1,997
Cork,4,"Recent Rain",08,29,W,89,0.8,1004
Dublin,6,"Recent Rain",11,22,SW,77,0.01,998
Dunsany,6,-,14,,SW,78,0.0,998
Finner,7,"Light Drizzle ",20,31,SW,70,0.01,994
Gurteen,6,"Rain shower",16,,SW,79,0.1,1000
"Johnstown Castle",6,"Recent Drizzle ",12,,SW,82,0.01,1002
Knock,4,"Recent Hail",18,33,SW,88,0.6,997
"Mace Head",6,"Rain shower",38,52,W,78,0.01,999
"Malin Head",6,Fair,30,44,SW,71,0.0,990
"Markree Castle",6,-,-,,-,75,0.0,996
"Moore Park",7,-,12,,W,69,0.0,1003
"Mt Dillon",8,-,13,26,SW,66,0.0,997
Mullingar,6,Fair,10,,SW,78,0.0,998
"Newport Mayo",8,-,20,36,W,70,0.1,997
"Oak Park",6,Fair,12,,SW,76,0.0,1000
"Phoenix Park",6,-,-,,-,73,0.0,999
"Roche's Point",5,"Light rain ",17,31,W,84,0.1,1004
Shannon,6,"Recent Hail",26,38,W,65,0.2,1001
"Sherkin Island",7,"Recent Drizzle ",20,45,W,79,0.3,1005
Valentia,7,Fair,27,39,W,67,0.0,1005
