Station,"Temperature (ºC)",Weather,"Wind Speed (Kts)","Wind Gust (Kts)","Wind Direction","Humidity (%)","Rainfall (mm)","Pressure (hPa)"
Athenry,10,"Light Drizzle ",05,,W,90,0.01,1021
Ballyhaise,9,"Rain shower",05,,W,94,0.4,1019
Belmullet,10,"Light Drizzle ",11,,W,92,0.01,1021
Casement,9,Cloudy,14,,W,86,0.0,1020
Claremorris,10,-,14,,W,90,0.1,1021
Cork,8,"Recent Rain",12,,W,91,0.4,1024
Dublin,9,"Recent Rain",16,,W,83,0.01,1020
Dunsany,10,-,10,,W,84,0.0,1020
Finner,9,"Recent Rain",10,,W,94,0.2,1019
Gurteen,9,"Rain shower",12,,W,92,0.01,1021
"Johnstown Castle",9,Cloudy,06,,SW,90,0.0,1022
Knock,8,"Light rain ",14,24,W,96,0.5,1020
"Mace Head",9,"Rain shower",16,,W,94,0.1,1022
"Malin Head",10,Cloudy,15,,W,90,0.1,1017
"Markree Castle",10,-,-,,-,82,0.0,1020
"Moore Park",10,-,11,,W,87,0.3,1023
"Mt Dillon",10,-,08,,W,87,0.0,1020
Mullingar,10,Cloudy,06,,W,86,0.0,1020
"Newport Mayo",9,-,12,,W,93,0.7,1021
"Oak Park",10,Cloudy,10,,W,80,0.0,1021
"Phoenix Park",10,-,-,,-,79,0.0,1020
"Roche's Point",10,"Recent Drizzle ",13,,W,83,0.01,1024
Shannon,9,"Light rain ",14,,W,91,0.2,1023
"Sherkin Island",10,Fair,18,,W,80,0.0,1024
Valentia,12,Fair,12,,NW,83,0.0,1025
