Station,"Temperature (ºC)",Weather,"Wind Speed (Kts)","Wind Gust (Kts)","Wind Direction","Humidity (%)","Rainfall (mm)","Pressure (hPa)"
Athenry,9,Mist,06,,SW,92,0.0,1024
Ballyhaise,9,Fair,04,,W,92,0.0,1022
Belmullet,10,Mist,07,,W,86,0.0,1023
Casement,8,"Moderate Drizzle ",11,,W,97,0.01,1023
Claremorris,9,-,06,,W,92,0.0,1023
Cork,9,Cloudy,05,,W,78,0.0,1025
Dublin,9,Cloudy,10,,W,90,0.0,1022
Dunsany,9,-,09,,W,93,0.0,1022
Finner,8,"Light Drizzle ",09,,W,95,0.3,1022
Gurteen,9,"Recent Rain",07,,W,93,0.01,1024
"Johnstown Castle",9,Cloudy,04,,SW,86,0.0,1024
Knock,8,"Light Drizzle ",08,,W,100,0.01,1023
"Mace Head",9,Cloudy,13,,W,88,0.0,1024
"Malin Head",9,Cloudy,11,,SW,95,0.0,1020
"Markree Castle",9,-,-,,-,95,0.2,1023
"Moore Park",9,-,05,,W,85,0.0,1025
"Mt Dillon",9,-,03,,W,92,0.0,1023
Mullingar,9,Cloudy,04,,W,94,0.0,1023
"Newport Mayo",9,-,05,,W,90,0.0,1023
"Oak Park",9,Cloudy,06,,W,89,0.0,1024
"Phoenix Park",9,-,-,,-,89,0.0,1023
"Roche's Point",10,Cloudy,12,,NW,77,0.0,1025
Shannon,9,Cloudy,07,,W,87,0.0,1025
"Sherkin Island",9,Cloudy,13,,W,82,0.0,1026
Valentia,9,Fair,08,,W,91,0.0,1026
