Station,"Temperature (ºC)",Weather,"Wind Speed (Kts)","Wind Gust (Kts)","Wind Direction","Humidity (%)","Rainfall (mm)","Pressure (hPa)"
Athenry,12,Cloudy,05,,S,76,0.0,1030
Ballyhaise,10,Mist,06,,SE,84,0.0,1031
Belmullet,12,Cloudy,14,,S,79,0.0,1028
Casement,11,Fair,02,,N,72,0.01,1032
Claremorris,11,-,09,,SE,91,0.1,1030
Cork,8,"Fog thickening",11,,SE,100,0.01,1032
Dublin,8,Mist,07,,SE,88,0.0,1033
Dunsany,6,-,04,,E,94,0.0,1033
Finner,12,Cloudy,08,,E,76,0.0,1029
Gurteen,10,Mist,16,,SE,89,0.0,1031
"Johnstown Castle",8,Mist,04,,SE,93,0.0,1034
Knock,9,"Recent Rain",11,,SE,95,0.01,1030
"Mace Head",10,Cloudy,15,,SE,91,0.0,1029
"Malin Head",13,"Rain shower",15,26,S,78,0.01,1030
"Markree Castle",11,-,-,,-,86,0.0,1030
"Moore Park",9,-,06,,SE,92,0.0,1032
"Mt Dillon",11,-,07,,S,87,0.0,1031
Mullingar,9,Mist,05,,SE,86,0.0,1032
"Newport Mayo",11,-,12,,E,90,0.0,1028
"Oak Park",9,Mist,02,,S,91,0.0,1033
"Phoenix Park",7,-,-,,-,92,0.0,1033
"Roche's Point",9,"Recent Fog",08,,SE,97,0.0,1033
Shannon,10,Cloudy,10,,SE,87,0.0,1031
"Sherkin Island",10,Mist,11,,SE,98,0.0,1032
Valentia,12,Cloudy,16,28,SE,85,0.0,1029
