Station,"Temperature (ºC)",Weather,"Wind Speed (Kts)","Wind Gust (Kts)","Wind Direction","Humidity (%)","Rainfall (mm)","Pressure (hPa)"
Athenry,10,Cloudy,13,,W,73,0.0,1008
Ballyhaise,8,"Recent Drizzle ",07,21,W,77,0.01,1006
Belmullet,10,Cloudy,15,,W,67,0.0,1006
Casement,10,Cloudy,21,31,W,61,0.0,1006
Claremorris,9,-,13,28,W,72,0.0,1007
Cork,11,"Recent Rain",12,,W,87,0.01,1010
Dublin,10,"Recent Rain",22,32,W,64,0.01,1005
Dunsany,10,-,17,28,W,67,0.0,1006
Finner,8,"Recent Drizzle ",17,28,W,81,0.1,1005
Gurteen,11,Cloudy,21,31,W,67,0.0,1008
"Johnstown Castle",12,Cloudy,11,28,NW,66,0.0,1008
Knock,8,Cloudy,17,30,W,76,0.0,1007
"Mace Head",10,"Moderate Drizzle ",20,,W,80,0.01,1008
"Malin Head",8,Fair,22,34,W,70,0.0,1002
"Markree Castle",9,-,-,,-,72,0.0,1006
"Moore Park",11,-,14,,W,79,0.0,1010
"Mt Dillon",10,-,13,24,W,68,0.0,1006
Mullingar,10,Cloudy,09,22,W,66,0.0,1006
"Newport Mayo",9,-,11,27,W,74,0.0,1007
"Oak Park",11,Fair,14,32,W,58,0.0,1008
"Phoenix Park",11,-,-,,-,57,0.0,1006
"Roche's Point",13,Cloudy,14,26,W,80,0.0,1010
Shannon,10,"Rain/Drizzle ",13,,W,86,0.01,1010
"Sherkin Island",11,Mist,24,35,W,97,0.0,1012
Valentia,11,"Recent Drizzle ",20,,W,98,1.0,1012
