Station,"Temperature (ºC)",Weather,"Wind Speed (Kts)","Wind Gust (Kts)","Wind Direction","Humidity (%)","Rainfall (mm)","Pressure (hPa)"
Athenry,10,Cloudy,10,,W,93,0.0,1025
Ballyhaise,14,Fair,08,,W,81,0.0,1023
Belmullet,10,Mist,16,,W,96,0.0,1024
Casement,13,"Recent Drizzle ",13,,SW,87,0.01,1024
Claremorris,13,-,12,,NW,81,0.0,1024
Cork,15,Cloudy,09,,W,67,0.0,1026
Dublin,12,Cloudy,11,,SW,85,0.0,1024
Dunsany,11,-,07,,SW,92,0.0,1024
Finner,10,Mist,13,23,W,94,0.0,1024
Gurteen,13,Cloudy,08,,W,84,0.0,1025
"Johnstown Castle",10,"Recent Fog",10,,SW,99,0.0,1026
Knock,10,Cloudy,15,,W,93,0.0,1025
"Mace Head",10,Mist,12,,W,97,0.0,1026
"Malin Head",10,Cloudy,24,,W,93,0.0,1022
"Markree Castle",13,-,-,,-,80,0.0,1023
"Moore Park",14,-,07,,W,68,0.0,1025
"Mt Dillon",15,-,09,,SW,78,0.0,1024
Mullingar,13,Cloudy,06,,W,82,0.0,1024
"Newport Mayo",11,-,13,,W,92,0.0,1025
"Oak Park",12,Cloudy,05,,S,86,0.0,1025
"Phoenix Park",13,-,-,,-,79,0.0,1025
"Roche's Point",11,Cloudy,12,,S,94,0.0,1026
Shannon,12,"Recent Drizzle ",10,,SW,88,0.01,1026
"Sherkin Island",11,Cloudy,12,,W,90,0.0,1027
Valentia,10,Mist,06,,W,97,0.0,1027
