Station,"Temperature (ºC)",Weather,"Wind Speed (Kts)","Wind Gust (Kts)","Wind Direction","Humidity (%)","Rainfall (mm)","Pressure (hPa)"
Athenry,9,Mist,09,,SW,97,0.0,1027
Ballyhaise,13,Fair,07,,W,74,0.0,1024
Belmullet,10,Mist,11,,SW,97,0.0,1025
Casement,13,Fair,11,,W,77,0.0,1025
Claremorris,12,-,08,,W,85,0.0,1026
Cork,16,Fair,09,,W,67,0.0,1026
Dublin,13,Fair,06,,W,75,0.0,1025
Dunsany,13,-,11,,W,74,0.0,1025
Finner,10,"Rain shower",10,,W,96,0.01,1025
Gurteen,12,Fair,10,,SW,81,0.0,1027
"Johnstown Castle",10,Mist,08,,SW,96,0.0,1027
Knock,10,Cloudy,14,,W,95,0.0,1026
"Mace Head",9,Mist,10,,W,98,0.0,1027
"Malin Head",10,Cloudy,18,,W,93,0.0,1023
"Markree Castle",12,-,-,,-,83,0.0,1025
"Moore Park",14,-,07,,N,77,0.0,1026
"Mt Dillon",13,-,06,,SW,84,0.0,1025
Mullingar,13,Fair,07,,SW,76,0.0,1025
"Newport Mayo",10,-,07,,SW,95,0.0,1026
"Oak Park",15,Fair,07,,W,68,0.0,1026
"Phoenix Park",14,-,-,,-,71,0.0,1025
"Roche's Point",13,Fair,02,,SE,81,0.0,1027
Shannon,10,Cloudy,11,,SW,87,0.0,1027
"Sherkin Island",11,Cloudy,08,,W,89,0.0,1028
Valentia,10,Cloudy,04,,W,95,0.0,1028
