Station,"Temperature (ºC)",Weather,"Wind Speed (Kts)","Wind Gust (Kts)","Wind Direction","Humidity (%)","Rainfall (mm)","Pressure (hPa)"
Athenry,8,Fair,14,,NW,77,0.0,1017
Ballyhaise,7,Fair,07,,NW,73,0.0,1014
Belmullet,8,Fair,12,26,NW,69,0.0,1017
Casement,9,Fair,14,,NW,64,0.0,1014
Claremorris,6,-,07,24,NW,90,0.9,1017
Cork,8,"Sun/Clear sky",19,30,NW,67,0.0,1018
Dublin,8,Fair,13,23,NW,75,0.0,1013
Dunsany,8,-,13,,NW,66,0.0,1014
Finner,8,Fair,14,,W,74,0.0,1015
Gurteen,6,"Recent Rain",08,26,NW,86,0.5,1017
"Johnstown Castle",9,Fair,14,26,W,67,0.0,1015
Knock,6,"Recent Rain",13,25,NW,85,0.01,1016
"Mace Head",8,Fair,19,,NW,72,0.0,1018
"Malin Head",8,Fair,19,,NW,74,0.0,1013
"Markree Castle",8,-,-,,-,75,0.0,1015
"Moore Park",8,-,12,22,W,74,0.0,1018
"Mt Dillon",7,-,11,29,NW,80,0.2,1016
Mullingar,7,Fair,10,22,NW,73,0.0,1015
"Newport Mayo",8,-,14,25,NW,77,0.5,1017
"Oak Park",9,Fair,11,21,W,64,0.0,1015
"Phoenix Park",7,-,-,,-,81,1.4,1014
"Roche's Point",9,Fair,24,37,NW,66,0.0,1018
Shannon,8,Fair,17,,W,72,0.0,1018
"Sherkin Island",9,Fair,16,,W,67,0.0,1020
Valentia,8,Cloudy,14,27,NW,76,0.0,1021
