Station,"Temperature (ºC)",Weather,"Wind Speed (Kts)","Wind Gust (Kts)","Wind Direction","Humidity (%)","Rainfall (mm)","Pressure (hPa)"
Athenry,11,Mist,12,,W,94,0.0,1025
Ballyhaise,12,Cloudy,09,,W,90,0.0,1023
Belmullet,10,Mist,15,,SW,94,0.0,1024
Casement,11,Cloudy,12,22,SW,87,0.0,1024
Claremorris,14,-,07,,SW,79,0.0,1024
Cork,14,Fair,07,,W,69,0.0,1026
Dublin,12,Cloudy,12,22,W,83,0.0,1024
Dunsany,12,-,10,,SW,88,0.1,1024
Finner,11,Fair,16,,W,90,0.0,1023
Gurteen,12,Cloudy,10,,W,86,0.0,1025
"Johnstown Castle",10,Fog,09,,SW,98,0.1,1026
Knock,11,Cloudy,12,,W,95,0.0,1024
"Mace Head",10,"Recent Fog",12,,W,99,0.0,1025
"Malin Head",10,Cloudy,22,,SW,93,0.0,1021
"Markree Castle",13,-,-,,-,80,0.0,1023
"Moore Park",14,-,07,,W,68,0.0,1025
"Mt Dillon",14,-,09,,SW,81,0.0,1024
Mullingar,12,Cloudy,06,,SW,88,0.0,1024
"Newport Mayo",11,-,11,,SW,95,0.0,1024
"Oak Park",11,Cloudy,07,,S,90,0.0,1025
"Phoenix Park",12,-,-,,-,80,0.0,1024
"Roche's Point",11,Cloudy,12,,S,92,0.0,1026
Shannon,12,Cloudy,14,,W,85,0.0,1026
"Sherkin Island",11,Cloudy,08,,W,91,0.0,1027
Valentia,10,Mist,07,,W,95,0.0,1027
