Station,"Temperature (ºC)",Weather,"Wind Speed (Kts)","Wind Gust (Kts)","Wind Direction","Humidity (%)","Rainfall (mm)","Pressure (hPa)"
Athenry,10,"Rain shower",11,,W,75,0.01,1008
Ballyhaise,8,"Recent Rain",05,,W,76,0.01,1006
Belmullet,9,"Light rain ",14,,W,76,0.01,1006
Casement,10,Cloudy,20,34,W,64,0.0,1006
Claremorris,9,-,15,,W,69,0.0,1007
Cork,12,"Recent Rain",16,,W,88,0.01,1010
Dublin,10,"Recent Rain",19,33,W,65,0.01,1006
Dunsany,10,-,15,26,W,69,0.0,1006
Finner,9,"Recent Drizzle ",16,31,W,78,0.1,1005
Gurteen,10,Cloudy,16,26,W,73,0.0,1008
"Johnstown Castle",12,Cloudy,14,32,W,63,0.0,1008
Knock,8,Cloudy,14,30,W,84,0.0,1007
"Mace Head",9,"Light rain ",13,,W,91,1.0,1008
"Malin Head",7,"Light rain ",23,34,W,76,0.01,1002
"Markree Castle",9,-,-,,-,65,0.0,1006
"Moore Park",11,-,09,21,W,84,0.0,1010
"Mt Dillon",10,-,10,22,W,70,0.0,1006
Mullingar,10,Fair,12,22,W,65,0.0,1006
"Newport Mayo",9,-,12,22,W,73,0.0,1006
"Oak Park",11,Cloudy,15,,W,62,0.0,1008
"Phoenix Park",11,-,-,,-,58,0.0,1006
"Roche's Point",13,Cloudy,17,,W,84,0.0,1010
Shannon,9,"Rain/Drizzle ",12,,W,92,0.6,1009
"Sherkin Island",11,Mist,27,36,W,96,0.0,1012
Valentia,11,Mist,21,32,W,96,0.1,1012
